Akomaa,Aduko
Abdulaih,Yaba
Nyoja,Oshamatu
Asirifi,Sikena
Osei Kofi,Zuberu
Hamma,Azimi
Asongtaaba,Alima
Kabenee,Adisa
Akpaku,Akayuure
Abugri,Tahiru
Qwasi,Teni
Anning,Derry
Yeboah Dei,Morton
Korkor,Asanpana
Akrugu,Teye
Baako,Agyei
Laetey,Kabiru
Agagiba,Sham
Odura,Amaama
Ashitey,Saalu
Breman,Ashatu
Abdul Aziz,Nawome
Pappoe,Ahin
Babacap,Nabaa
Ngambi,Sampoa
Benyah,Jumah
Nunekpenu,Nene
Bediako,Manaaf
Ndio,Abubakar
Amedzrovi,Meri
Kpormegbe,Upah
Nuakoh,Darfour
Anobaah,Ablah
Muntaru,Gwalase
Blaboe,Sualey
Abdul-Halidu,Kabayire
Baffour,Gordon
Azorbli,Ayadago
Nimo,Williams
Kukey,Akumimah
Goodman,Gmabani
Bikpom,Zaayetogu
Mansa,Duti
Tampuli,Bashiru
Agyaklo,Franklin
Adugbila,Wie
Sopelle,Wiafe
Sowah,Hamsheitu
Adjetey,Atupoka
Hodo,Mantey
Kyerewaa,Baatoware
Saba,Timorlibe
Asigni,Nafiu
Kumiwaa,Leonard
Atinko,Enyonam
Abdul Karim,Cosmos
Samob,Lazarous
Klu,Sitsofe
Gone,Kumson
Adongo,Werempoah
Jirbaa,Clara
Eduagyirewa,Immaah
Baasare,Kanaa
Nipaah,Ayakinan
Owireduaa,Aditarema
Obiri Yeboah,Aabenyaay
Aglago,Sabra
Surazu,Sekwo
Masiku,Chiwo
Akobaanana,Donkor
Bavug,Vinayire
Mort,Nsandoh
Manso,Morgan
Akrofi,Zarni
David,Muazu
Bakuoru,Nakira
Nketsiah,Zelhiya
Aduateh,Rosemond
Anaam,Aishatu
Adutwuwaa,Meli
Tanko,Siaw
Alhasan,Katiga
Odai,Rahana
Jagri,Sadick
Atikpa,Rahamatu
Nam,Nusimebia
Agbezudor,Philemon
Anagba,Awie
Issac,Kwamla
Boye,Husein
Agyepong,Koku
Benson,Kane
Nsiah,Ntow
Osaah,Lucky
Vifah,Kwamena
Eding,Nimori
Gyabea,Thelma
Adobire,Ayine
Ayuumah,Banyambu
Fataw,Ngeegmami
Kholi,Shadrack
Kuntin-Mensah,Zifma
Owusu Ansah,Sunday
Okai,Adengtoge
Aleefi,Ndomoah
Faah,Bayigma
Atubiga,Perfect
Osah,Roger
Ishaq,Kismatu
Dugbatey,Inuusah
Agyei Kodie,Warisu
Kpakpofio,Akonsi
Obuor,Anass
Amankwa,Catherina
Teyegaga,Timbeya
Mpoka,Hanifa
Akyeama,Ayenpaga
Pupuni,Ngminkaar
Darkowa,Majeed
Afare,Socrates
Alizarta,Teiku
Nagbeteg,Smailah
Anokye,Adjowa
Lamba,Joana
Ocli,Washifa
Atampoa,Bula
Borteye,Dacosta
Duah,Lady
Oti,Matey
Abayah,Kpenaba
Ampofo,Joyceline
Afrane,Kutajera
Yamba,Cletus
Sam-Awortwe,Wobube
Kwatemaa,Oliva
Boamah,Roland
Kyere,Matina
Worae,Quaye
Asaah,Shetu
Gandy,Sawdatu
Fowaa,Araba
Havor,Sinwomba
Ferguson-Duncan,Wadud
Djiwornu,Appenteng
Bisniti,Kwateng
Laanyibo,Bamatu
Tong,Zuleiha
Nandi,Ephraim
Abebrese,Frafra
Akuako,Fafa
Sipatey,Samed
Awotwe,Mawah
Sidiq,Boadi
Debrah,Susanna
Agyenim,Bonye
Akomoyide,Sherif
Ata-Eta,Takinuo
Awindago,Boahen
Amalbo Abanga,Azilim
Dovlo,Enkpaa
Esaah,Masawudu
Abewene,Denis
Suale,Vandyke
Abuomanbang,Jemima
Madi,Panyin
Nsowah,Ato
Alex,Appau
Bidaba,Samson
Ali-Sankye,Suley
Mafarm,Oliver
Azuma,Valantina
Abdul Wadu,Kogoriba
Adama,Ruby
Eliasu,Edmond
Adam Yussif,Dayome
Yendor,Coliins
Pokuah,Zuwa
Nablah,Henkel
Neizer,Lukayatu
Kusi Appiah,Ziblila
Asare Boadu,Josphere
Mlorfe,Enmma
Gajere,Adjei
Alorgbey,Jibrian
Abaguri,Wadongma
Yeboah Bonsu,Gyinnookuu
Kwafo,Willinton
Hasford,Abdallah
Arkwah,Jossy
